IT_Desk_Number,Desk_Location
LH4552D,8-1105D
LH4702,7-1248
LH4574A,8-1700
LH4615,8-1633
LH4452/LH4453,8-1359
LH4523,8-1215
LH4725,7-1210
LH4460,8-1343
LH4952,27-Aug
LH5069,Jul-68
LH4884,Aug-53
LH4406,8-1414B
LH4831,05-Aug
LH4565,8-1517
LH4590,8-1621
LH4939,13-Aug
LH5079,Jul-78
LH4668,7-1226
LH4966,Aug-63
LH4475,8-1336
LH5071,Jul-70
LH4445,8-1352
LH7260,11-1402
LH7252,11-1102
LH4947,22-Aug
lh4810,07-Aug
LH4678,7-1250
LH7268,11-1410
LH4545B,8-1304B
LH4423,02-Aug
LH4484,8-1321
LH4592,8-1619
LH4649,7-1306
LH4505,8-1233
LH4744,12-Aug
LH5026,25-Jul
LH4567,8-1519
LH4746,14-Aug
LH4983,8-1667
LH4621,8-1646
LH4929,04-Aug
LH4407B,8-1414C
LH4894,29-Aug
LH5051,Jul-50
LH4514,8-1224
LH5074,Jul-73
LH4931,06-Aug
LH4513,8-1225
LH5082,Jul-91
LH5047,Jul-46
LH4847/LH4846,8-2615/8-2616
LH4658,7-1218
LH4933,08-Aug
LH4652,7-1301
LH4527,8-1211
LH4872,Aug-59
LH4895,30-Aug
LH5030,Jul-39
LH4417,09-Aug
LH5013,10-Jul
LH4609,8-1639
LH4477,8-1338
LH4568,8-1520
LH5056,Jul-65
LH4930,05-Aug
LH4886,Aug-45
LH7256,11-1106
LH4421,15-Aug
LH4444,8-1351
LH4544,8-1305
LH4975,8-1675
LH7287,11-1300
LH4855,29-Aug
LH4907,22-Aug
LH7281,11-1213
LH4583,8-1609
LH4967,Aug-64
LH4418,08-Aug
LH4632,8-1602
LH4497,8-1313
LH4898,Aug-33
LH5028,27-Jul
LH4578C,8-2504C
LH5063,Jul-58
LH4413,8-1100
LH4572,8-1703
LH4561,8-1501
LH4607,8-1641
LH4822A,20-Aug
LH4840,10-Aug
LH4870,Aug-61
LH4571,8-1704
LH4591,8-1620
LH4905,24-Aug
LH4680,7-1258
LH4755,Aug-40
LH5027,26-Jul
LH5024,23-Jul
LH4844,18-Aug
LH4873,Aug-58
LH7265,11-1407
LH4909,20-Aug
LH4476,8-1337
LH4458,8-1345
LH4549,8-1102
LH4608,8-1640
LH4849,23-Aug
LH4798,01-Aug
LH4562,8-1514
LH7283,11-1215
LH4964,Aug-61
LH4901,Aug-36
LH4524,8-1214
LH4599,8-1624
LH4511,8-1227
LH4969,Aug-66
LH4994,8-1655
LH4515,8-1223
LH5052,Jul-51
LH7285,11-1217
LH4631,8-1603
LH4563,8-1515
LH4570,8-1705
LH4429,12-Aug
LH4856,30-Aug
LH4496,8-1312B
LH4742,10-Aug
LH4801,03-Aug
LH4887,Aug-44
LH4985,8-1665
LH4531,8-1203
LH4822A,20-Aug
LH4885,Aug-54
LH4997,8-1658
LH5072,Jul-71
LH5065,Jul-56
LH4867,Aug-72
LH4982,8-1668
LH4498,8-1314
LH4790 ,11-Aug
LH4511,8-1227
LH4893,28-Aug
LH5077,Jul-76
LH5062,Jul-59
LH5067,Jul-54
LH4908,21-Aug
LH7261,11-1403
LH4517,8-1217
LH4962,Aug-68
LH4629,8-1605
LH5083,Jul-90
LH4532,8-1204
LH4589,8-1622
LH4528,8-1210
LH7277,11-1209
LH4795 ,06-Aug
LH5092,Jul-81
LH4473,8-1334
LH4935,10-Aug
LH4424,17-Aug
LH5042,Jul-41
LH4628,8-1606
LH4807,Aug-58
LH4594,8-1617
LH4877,Aug-46
LH4965,Aug-62
LH4542,8-1239
LH4521,8-1221
LH4407A,8-1414A
LH4999,8-1660
LH4747,15-Aug
LH4653,7-1300
LH4426,01-Aug
LH4746,14-Aug
LH4896,31-Aug
LH4788 ,17-Aug
LH4852,26-Aug
LH5087,Jul-86
LH4819,16-Aug
LH5019,18-Jul
LH5025,24-Jul
LH5061,Jul-60
LH5038,31-Jul
LH4880,Aug-49
LH5078,Jul-77
LH4958,Aug-72
LH4410,10-Aug
LH4521,8-1221
LH4869,Aug-62
LH4825,01-Aug
LH4427,05-Aug
LH5057,Jul-64
LH5054,Jul-53
LH5076,Jul-75
LH4603,8-1628
LH5044,Jul-43
LH4845,17-Aug
LH5039,30-Jul
LH5014,09-Jul
LH4703,7-1241
LH4674,7-1228
LH4792 ,09-Aug
LH4516,8-1216
LH4861,Aug-65
LH5070,Jul-69
LH4953,28-Aug
LH4529,8-1209
LH4851,25-Aug
LH4574C,8-1701
LH4978/LH4979,8-1678
LH4533,8-1205
LH4441/LH4440,8-1360
LH7254,11-1104
LH4551,8-1104
LH4553,8-1106
LH4972,8-1672
LH4948,23-Aug
LH4446,8-1353
LH4639,8-1510
LH4478,8-1327
LH5060,Jul-61
LH5085,Jul-88
LH4878,Aug-47
LH4577,02-Aug
LH5068,Jul-67
LH4874,Aug-57
LH4990,8-1651
LH7278,11-1210
LH5066,Jul-55
LH4411,13-Aug
LH7253,11-1103
LH4938,14-Aug
LH4802 ,04-Aug
LH5004,12-Jul
LH4504,8-1232
LH4526,8-1212
LH5036,Jul-33
LH4868,Aug-63
LH4855,29-Aug
LH4543,8-1306
LH4578D,8-2504D
LH5046,Jul-45
LH5093,Jul-80
LH5023,22-Jul
LH4945,18-Aug
LH7255,11-105
LH4915,16-Aug
LH4691,7-1253
LH4944,19-Aug
LH4909,20-Aug
LH4745,13-Aug
LH4963,Aug-67
LH4741,09-Aug
LH4843,19-Aug
LH4584,8-1610
LH5016,15-Jul
LH5017,16-Jul
LH5018,17-Jul
LH5029,Jul-40
LH4941,11-Aug
LH4422,03-Aug
LH4917,18-Aug
LH4633,8-1601
LH4578A,8-2504A
LH4913,13-Aug
LH4540,8-1237
LH4619,8-1644
LH4976,8-1676
LH4605,8-1630
LH4640,8-1504
LH4575,Aug-00
LH4461,8-1342
LH5045,Jul-44
LH4914,14-Aug
LH4513,8-1225
LH4991,8-1652
LH4641,8-1505
LH4834,08-Aug
LH4585,8-1611
